Number         Type           Pspl           Binary         Burst          Pos Binary     Square         
99             Long PSPL      0              0              0              0              0              
100            Binary         0              1              0              0              0              
101            PSPL           1              0              0              0              0              
102            PSPL           1              0              0              0              0              
103            Long PSPL      0              0              0              0              0              
104            Pos Binary     0              0              0              1              0              
105            Long PSPL      0              0              0              0              0              
106            Square         0              0              0              0              1              
107            Binary         0              1              0              0              0              
108            PSPL           1              0              0              0              0              
109            Pos Binary     0              0              0              1              0              
110            PSPL           1              0              0              0              0              
111            Binary         0              1              0              0              0              
112            PSPL           1              0              0              0              0              
113            Long PSPL      0              0              0              0              0              
114            Pos Binary     0              0              0              1              0              
115            Pos Binary     0              0              0              1              0              
116            Pos Binary     0              0              0              1              0              
117            Pos Binary     0              0              0              1              0              
118            Binary         0              1              0              0              0              
119            Long PSPL      0              0              0              0              0              
120            Pos Binary     0              0              0              1              0              
121            PSPL           1              0              0              0              0              
122            Periodic       0              0              1              3              0              
123            Pos Binary     0              0              0              1              0              
124            Long PSPL      0              0              0              0              0              
125            PSPL           1              0              0              0              0              
126            Periodic       5              0              1              2              0              
127            Periodic       0              0              1              1              0              
128            Binary         0              1              0              0              0              
129            Flat           0              0              0              0              0              
130            PSPL           1              0              0              0              0              
131            Binary         0              1              0              0              0              
132            PSPL           1              0              0              0              0              
133            Long PSPL      0              0              0              0              0              
134            Flat           0              0              0              0              0              
135            Periodic       4              0              0              7              0              
136            Binary         0              1              0              0              0              
137            Long PSPL      0              0              0              0              0              
138            Flat           0              0              0              0              0              
139            Long PSPL      0              0              0              0              0              
140            Pos Binary     0              0              0              1              0              
141            Flat           0              0              0              0              0              
142            Binary         0              1              0              0              0              
143            Pos Binary     0              0              0              1              0              
144            Binary         0              1              0              0              0              
145            Flat           0              0              0              0              0              
146            Long PSPL      0              0              0              0              0              
147            Burst          0              0              1              0              0              
148            Pos Binary     0              0              0              1              0              
149            Long PSPL      0              0              0              0              0              
150            PSPL           1              0              0              0              0              
151            Long PSPL      0              0              0              0              0              
152            Binary         0              1              0              0              0              
153            Pos Binary     0              0              0              1              0              
154            PSPL           1              0              0              0              0              
155            Long PSPL      0              0              0              0              0              
156            Long PSPL      0              0              0              0              0              
157            Pos Binary     0              0              0              1              0              
158            Long PSPL      0              0              0              0              0              
159            Pos Binary     0              0              0              1              0              
160            Long PSPL      0              0              0              0              0              
161            Flat           0              0              0              0              0              
162            PSPL           1              0              0              0              0              
163            Binary         0              1              0              0              0              
164            Flat           0              0              0              0              0              
165            Periodic       1              0              1              0              0              
166            Binary         0              1              0              0              0              
167            Pos Binary     0              0              0              1              0              
168            Long PSPL      0              0              0              0              0              
169            Pos Binary     0              0              0              1              0              
170            Pos Binary     0              0              0              1              0              
171            Pos Binary     0              0              0              1              0              
172            Long PSPL      0              0              0              0              0              
173            Flat           0              0              0              0              0              
174            Binary         0              1              0              0              0              
175            Long PSPL      0              0              0              0              0              
176            Burst          0              0              1              0              0              
177            Flat           0              0              0              0              0              
178            Flat           0              0              0              0              0              
179            PSPL           1              0              0              0              0              
180            Flat           0              0              0              0              0              
181            Long PSPL      0              0              0              0              0              
182            Binary         0              1              0              0              0              
183            Flat           0              0              0              0              0              
184            Binary         0              1              0              0              0              
185            Pos Binary     0              0              0              1              0              
186            Binary         0              1              0              0              0              
187            Flat           0              0              0              0              0              
188            Long PSPL      0              0              0              0              0              
189            PSPL           1              0              0              0              0              
190            Binary         0              1              0              0              0              
191            Binary         0              1              0              0              0              
192            Pos Binary     0              0              0              1              0              
193            Binary         0              1              0              0              0              
194            Binary         0              1              0              0              0              
195            Periodic       0              0              0              0              0              
196            Periodic       2              0              0              0              0              
197            Periodic       2              0              0              4              0              
198            Binary         0              1              0              0              0              
199            Long PSPL      0              0              0              0              0              
200            Burst          0              0              1              0              0              
201            Burst          0              0              1              0              0              
202            Flat           0              0              0              0              0              
203            Long PSPL      0              0              0              0              0              
204            Binary         0              1              0              0              0              
205            Pos Binary     0              0              0              1              0              
206            Long PSPL      0              0              0              0              0              
207            Long PSPL      0              0              0              0              0              
208            Long PSPL      0              0              0              0              0              
209            Periodic       2              0              0              0              0              
210            PSPL           1              0              0              0              0              
211            PSPL           1              0              0              0              0              
212            Flat           0              0              0              0              0              
213            Pos Binary     0              0              0              1              0              
214            Long PSPL      0              0              0              0              0              
215            Flat           0              0              0              0              0              
216            Periodic       4              0              1              0              0              
217            Binary         0              1              0              0              0              
218            Long PSPL      0              0              0              0              0              
219            Flat           0              0              0              0              0              
220            Pos Binary     0              0              0              1              0              
221            Long PSPL      0              0              0              0              0              
222            Long PSPL      0              0              0              0              0              
223            Long PSPL      0              0              0              0              0              
224            Burst          0              0              1              0              0              
225            Flat           0              0              0              0              0              
226            Periodic       0              0              0              2              0              
227            Long PSPL      0              0              0              0              0              
228            Long PSPL      0              0              0              0              0              
229            Periodic       3              0              0              1              0              
230            Burst          0              0              1              0              0              
231            Long PSPL      0              0              0              0              0              
232            Periodic       0              0              1              0              0              
233            Pos Binary     0              0              0              1              0              
234            Long PSPL      0              0              0              0              0              
235            Long PSPL      0              0              0              0              0              
236            Pos Binary     0              0              0              1              0              
237            Burst          0              0              1              0              0              
238            Periodic       2              0              0              0              0              
239            PSPL           1              0              0              0              0              
240            Long PSPL      0              0              0              0              0              
241            Flat           0              0              0              0              0              
242            Long PSPL      0              0              0              0              0              
243            Periodic       4              0              0              2              0              
244            Flat           0              0              0              0              0              
245            Binary         0              1              0              0              0              
246            Pos Binary     0              0              0              1              0              
247            Pos Binary     0              0              0              1              0              
248            Binary         0              1              0              0              0              
249            Binary         0              1              0              0              0              
250            Pos Binary     0              0              0              1              0              
251            Flat           0              0              0              0              0              
252            Long PSPL      0              0              0              0              0              
253            Long PSPL      0              0              0              0              0              
254            Long PSPL      0              0              0              0              0              
255            Long PSPL      0              0              0              0              0              
256            Burst          0              0              1              0              0              
257            Long PSPL      0              0              0              0              0              
258            Long PSPL      0              0              0              0              0              
259            Binary         0              1              0              0              0              
260            Pos Binary     0              0              0              1              0              
261            Flat           0              0              0              0              0              
262            PSPL           1              0              0              0              0              
263            Burst          0              0              1              0              0              
264            Long PSPL      0              0              0              0              0              
265            Pos Binary     0              0              0              1              0              
266            Flat           0              0              0              0              0              
267            Binary         0              1              0              0              0              
268            PSPL           1              0              0              0              0              
269            Long PSPL      0              0              0              0              0              
270            Binary         0              1              0              0              0              
271            Burst          0              0              1              0              0              
272            Long PSPL      0              0              0              0              0              
273            Binary         0              1              0              0              0              
274            Burst          0              0              1              0              0              
275            Long PSPL      0              0              0              0              0              
276            Pos Binary     0              0              0              1              0              
277            PSPL           1              0              0              0              0              
278            Pos Binary     0              0              0              1              0              
279            Binary         0              1              0              0              0              
280            Binary         0              1              0              0              0              
281            Periodic       1              0              0              0              0              
282            Binary         0              1              0              0              0              
283            Long PSPL      0              0              0              0              0              
284            Binary         0              1              0              0              0              
285            PSPL           1              0              0              0              0              
286            Long PSPL      0              0              0              0              0              
287            Binary         0              1              0              0              0              
288            PSPL           1              0              0              0              0              
289            Pos Binary     0              0              0              1              0              
290            Pos Binary     0              0              0              1              0              
291            PSPL           1              0              0              0              0              
292            Burst          0              0              1              0              0              
293            Long PSPL      0              0              0              0              0              
PSPL      30        Binary    54        Burst     15        Pbinary   48        Square    1         Periodic  32        Long PSPL 82        Flat      31        No Base   0         
PSPLs
6   36  37  59  77  89  97  101 102 108 
110 112 121 125 130 132 150 154 162 179 
189 210 211 239 262 268 277 285 288 291 

Binaries
4   9   14  18  25  28  39  40  52  53  
63  67  71  72  73  74  76  94  95  100 
107 111 118 128 131 136 142 144 152 163 
166 174 182 184 186 190 191 193 194 198 
204 217 245 248 249 259 267 270 273 279 
280 282 284 287 
Bursts
49  51  98  147 176 200 201 224 230 237 
256 263 271 274 292 
Possible Binaries
5   17  21  27  30  31  43  57  60  65  
84  85  87  91  104 109 114 115 116 117 
120 123 140 143 148 153 157 159 167 169 
170 171 185 192 205 213 220 233 236 246 
247 250 260 265 276 278 289 290 
Squares
106 
Periodics
3   7   11  15  16  24  34  35  44  62  
64  75  83  86  90  96  122 126 127 135 
165 195 196 197 209 216 226 229 232 238 
243 281 
Long PSPL
2   8   12  20  22  29  32  33  38  41  
42  45  46  47  50  54  56  58  61  66  
68  69  70  78  79  80  81  82  88  92  
93  99  103 105 113 119 124 133 137 139 
146 149 151 155 156 158 160 168 172 175 
181 188 199 203 206 207 208 214 218 221 
222 223 227 228 231 234 235 240 242 252 
253 254 255 257 258 264 269 272 275 283 
286 293 
Flats
1   10  13  19  23  26  48  55  129 134 
138 141 145 161 164 173 177 178 180 183 
187 202 212 215 219 225 241 244 251 261 
266 
No Bases

